Fecha,Dia_Semana,Festivo,Dia_sin_carro,Hubo_Protesta,Es_COVID,Hay_Evento,Nombre_Evento
29/03/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
30/03/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
31/03/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
01/04/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
02/04/2015,Jueves,SI,NO,NO,NO,NO,Sin_Registro
03/04/2015,Viernes,SI,NO,NO,NO,NO,Sin_Registro
04/04/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
05/04/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
06/04/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
07/04/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
08/04/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
09/04/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
10/04/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
11/04/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
12/04/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
13/04/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
14/04/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
15/04/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
16/04/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
17/04/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
18/04/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
19/04/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
20/04/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
21/04/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
22/04/2015,Miercoles,NO,SI,NO,NO,SI,Feria del Libro
23/04/2015,Jueves,NO,NO,NO,NO,SI,Feria del Libro
24/04/2015,Viernes,NO,NO,NO,NO,SI,Feria del Libro
25/04/2015,Sábado,NO,NO,NO,NO,SI,Feria del Libro
26/04/2015,Domingo,NO,NO,NO,NO,SI,Feria del Libro
27/04/2015,Lunes,NO,NO,NO,NO,SI,Feria del Libro
28/04/2015,Martes,NO,NO,NO,NO,SI,Feria del Libro
29/04/2015,Miercoles,NO,NO,NO,NO,SI,Feria del Libro
30/04/2015,Jueves,NO,NO,NO,NO,SI,Feria del Libro
01/05/2015,Viernes,SI,NO,NO,NO,SI,Feria del Libro
02/05/2015,Sábado,NO,NO,NO,NO,SI,Feria del Libro
03/05/2015,Domingo,NO,NO,NO,NO,SI,Feria del Libro
04/05/2015,Lunes,NO,NO,NO,NO,SI,Feria del Libro
05/05/2015,Martes,NO,NO,NO,NO,SI,Feria del Libro
06/05/2015,Miercoles,NO,NO,NO,NO,SI,Feria del Libro
07/05/2015,Jueves,NO,NO,NO,NO,SI,Feria del Libro
08/05/2015,Viernes,NO,NO,NO,NO,SI,Feria del Libro
09/05/2015,Sábado,NO,NO,NO,NO,SI,Feria del Libro
10/05/2015,Domingo,NO,NO,NO,NO,SI,Dia de la Madre
11/05/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
12/05/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
13/05/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
14/05/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
15/05/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
16/05/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
17/05/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
18/05/2015,Lunes,SI,NO,NO,NO,NO,Sin_Registro
19/05/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
20/05/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
21/05/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
22/05/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
23/05/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
24/05/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
25/05/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
26/05/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
27/05/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
28/05/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
29/05/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
30/05/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
31/05/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
01/06/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
02/06/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
03/06/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
04/06/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
05/06/2015,Viernes,NO,NO,NO,NO,SI,Dia del Medio Ambiente
06/06/2015,Sábado,NO,NO,NO,NO,SI,Festival Alimentarte
07/06/2015,Domingo,NO,NO,NO,NO,SI,Festival Alimentarte
08/06/2015,Lunes,SI,NO,NO,NO,SI,Festival Alimentarte
09/06/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
10/06/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
11/06/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
12/06/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
13/06/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
14/06/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
15/06/2015,Lunes,SI,NO,NO,NO,NO,Sin_Registro
16/06/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
17/06/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
18/06/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
19/06/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
20/06/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
21/06/2015,Domingo,NO,NO,NO,NO,SI,Dia del Padre
22/06/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
23/06/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
24/06/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
25/06/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
26/06/2015,Viernes,NO,NO,NO,NO,SI,Dia del Orgullo LGBTIQ+
27/06/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
28/06/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
29/06/2015,Lunes,SI,NO,NO,NO,NO,Sin_Registro
30/06/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
01/07/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
02/07/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
03/07/2015,Viernes,NO,NO,NO,NO,SI,Rock al Parque
04/07/2015,Sábado,NO,NO,NO,NO,SI,Rock al Parque
05/07/2015,Domingo,NO,NO,NO,NO,SI,Rock al Parque
06/07/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
07/07/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
08/07/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
09/07/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
10/07/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
11/07/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
12/07/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
13/07/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
14/07/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
15/07/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
16/07/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
17/07/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
18/07/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
19/07/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
20/07/2015,Lunes,SI,NO,NO,NO,SI,Dia de la Independencia
21/07/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
22/07/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
23/07/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
24/07/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
25/07/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
26/07/2015,Domingo,NO,NO,NO,NO,SI,MeDia Maratón de Bogota
27/07/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
28/07/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
29/07/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
30/07/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
31/07/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
01/08/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
02/08/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
03/08/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
04/08/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
05/08/2015,Miercoles,NO,NO,NO,NO,SI,Ciclovía Nocturna
06/08/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
07/08/2015,Viernes,SI,NO,NO,NO,NO,
08/08/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
09/08/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
10/08/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
11/08/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
12/08/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
13/08/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
14/08/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
15/08/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
16/08/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
17/08/2015,Lunes,SI,NO,NO,NO,NO,Sin_Registro
18/08/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
19/08/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
20/08/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
21/08/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
22/08/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
23/08/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
24/08/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
25/08/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
26/08/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
27/08/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
28/08/2015,Viernes,NO,NO,NO,NO,SI,Opera al Parque
29/08/2015,Sábado,NO,NO,NO,NO,SI,Opera al Parque
30/08/2015,Domingo,NO,NO,NO,NO,SI,Opera al Parque
31/08/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
01/09/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
02/09/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
03/09/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
04/09/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
05/09/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
06/09/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
07/09/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
08/09/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
09/09/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
10/09/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
11/09/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
12/09/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
13/09/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
14/09/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
15/09/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
16/09/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
17/09/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
18/09/2015,Viernes,NO,NO,NO,NO,SI,Jazz al Parque
19/09/2015,Sábado,NO,NO,NO,NO,SI,Dia del Amor y la Amistad
20/09/2015,Domingo,NO,NO,NO,NO,SI,Jazz al Parque
21/09/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
22/09/2015,Martes,NO,SI,NO,NO,NO,Sin_Registro
23/09/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
24/09/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
25/09/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
26/09/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
27/09/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
28/09/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
29/09/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
30/09/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
01/10/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
02/10/2015,Viernes,NO,NO,NO,NO,SI,Bogota Beer Festival
03/10/2015,Sábado,NO,NO,NO,NO,SI,Bogota Beer Festival
04/10/2015,Domingo,NO,NO,NO,NO,SI,Bogota Beer Festival
05/10/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
06/10/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
07/10/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
08/10/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
09/10/2015,Viernes,NO,NO,NO,NO,SI,Colombia al Parque
10/10/2015,Sábado,NO,NO,NO,NO,SI,Colombia al Parque
11/10/2015,Domingo,NO,NO,NO,NO,SI,Colombia al Parque
12/10/2015,Lunes,SI,NO,NO,NO,NO,Sin_Registro
13/10/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
14/10/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
15/10/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
16/10/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
17/10/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
18/10/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
19/10/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
20/10/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
21/10/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
22/10/2015,Jueves,NO,NO,NO,NO,SI,Festival de Cine
23/10/2015,Viernes,NO,NO,NO,NO,SI,Festival de Cine
24/10/2015,Sábado,NO,NO,NO,NO,SI,Festival de Cine
